trafficway_type,alignment,roadway_surface_condition,road_defect
CENTER TURN LANE,CURVE ON GRADE,DRY,NO DEFECTS
CENTER TURN LANE,CURVE ON GRADE,DRY,"RUT, HOLES"
CENTER TURN LANE,CURVE ON GRADE,WET,NO DEFECTS
CENTER TURN LANE,"CURVE, LEVEL",DRY,NO DEFECTS
CENTER TURN LANE,"CURVE, LEVEL",UNKNOWN,NO DEFECTS
CENTER TURN LANE,"CURVE, LEVEL",UNKNOWN,UNKNOWN
CENTER TURN LANE,"CURVE, LEVEL",WET,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,OTHER
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,UNKNOWN
CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,WORN SURFACE
CENTER TURN LANE,STRAIGHT AND LEVEL,ICE,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,ICE,"RUT, HOLES"
CENTER TURN LANE,STRAIGHT AND LEVEL,ICE,UNKNOWN
CENTER TURN LANE,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,OTHER,UNKNOWN
CENTER TURN LANE,STRAIGHT AND LEVEL,OTHER,WORN SURFACE
CENTER TURN LANE,STRAIGHT AND LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY
CENTER TURN LANE,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
CENTER TURN LANE,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
CENTER TURN LANE,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
CENTER TURN LANE,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
CENTER TURN LANE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
CENTER TURN LANE,STRAIGHT AND LEVEL,WET,NO DEFECTS
CENTER TURN LANE,STRAIGHT AND LEVEL,WET,OTHER
CENTER TURN LANE,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
CENTER TURN LANE,STRAIGHT AND LEVEL,WET,UNKNOWN
CENTER TURN LANE,STRAIGHT AND LEVEL,WET,WORN SURFACE
CENTER TURN LANE,STRAIGHT ON GRADE,DRY,NO DEFECTS
CENTER TURN LANE,STRAIGHT ON GRADE,DRY,UNKNOWN
CENTER TURN LANE,STRAIGHT ON GRADE,DRY,WORN SURFACE
CENTER TURN LANE,STRAIGHT ON GRADE,ICE,NO DEFECTS
CENTER TURN LANE,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
CENTER TURN LANE,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
CENTER TURN LANE,STRAIGHT ON GRADE,WET,NO DEFECTS
CENTER TURN LANE,STRAIGHT ON GRADE,WET,UNKNOWN
CENTER TURN LANE,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
CENTER TURN LANE,STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
CENTER TURN LANE,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
CENTER TURN LANE,STRAIGHT ON HILLCREST,WET,NO DEFECTS
CENTER TURN LANE,STRAIGHT ON HILLCREST,WET,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,DRY,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,ICE,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,WET,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,WET,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,DRY,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,DRY,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,DRY,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,ICE,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,WET,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",DRY,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",DRY,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",DRY,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",ICE,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",WET,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",WET,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",WET,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,ICE,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,ICE,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,ICE,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,ICE,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,ICE,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"SAND, MUD, DIRT",NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"SAND, MUD, DIRT",OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"SAND, MUD, DIRT","RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,SHOULDER DEFECT
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,ICE,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,WET,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,WET,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,WET,"RUT, HOLES"
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,WET,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,WET,WORN SURFACE
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,DRY,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,DRY,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,DRY,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,SNOW OR SLUSH,OTHER
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,DRY,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,DRY,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,DRY,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,ICE,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,OTHER,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,WET,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,DRY,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,DRY,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,OTHER
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",ICE,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",ICE,OTHER
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",OTHER,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",WET,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",WET,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,OTHER,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,OTHER,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,SHOULDER DEFECT
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,ICE,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,ICE,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,OTHER,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,OTHER,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,WET,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,WET,"RUT, HOLES"
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,WET,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,WET,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,DRY,OTHER
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,DRY,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,DRY,WORN SURFACE
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,SNOW OR SLUSH,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,UNKNOWN,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,WET,NO DEFECTS
DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,WET,UNKNOWN
DRIVEWAY,CURVE ON GRADE,DRY,NO DEFECTS
DRIVEWAY,CURVE ON HILLCREST,DRY,NO DEFECTS
DRIVEWAY,"CURVE, LEVEL",DRY,NO DEFECTS
DRIVEWAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS
DRIVEWAY,STRAIGHT AND LEVEL,DRY,UNKNOWN
DRIVEWAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
DRIVEWAY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
DRIVEWAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
DRIVEWAY,STRAIGHT AND LEVEL,WET,NO DEFECTS
DRIVEWAY,STRAIGHT ON GRADE,DRY,NO DEFECTS
DRIVEWAY,STRAIGHT ON GRADE,DRY,OTHER
DRIVEWAY,STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
DRIVEWAY,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
DRIVEWAY,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
DRIVEWAY,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
"FIVE POINT, OR MORE","CURVE, LEVEL",DRY,NO DEFECTS
"FIVE POINT, OR MORE","CURVE, LEVEL",DRY,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,OTHER
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,WORN SURFACE
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,ICE,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,OTHER,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,UNKNOWN,OTHER
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,WET,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,WET,OTHER
"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,WET,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT ON GRADE,DRY,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT ON GRADE,DRY,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT ON GRADE,ICE,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
"FIVE POINT, OR MORE",STRAIGHT ON GRADE,WET,UNKNOWN
"FIVE POINT, OR MORE",STRAIGHT ON HILLCREST,DRY,NO DEFECTS
FOUR WAY,CURVE ON GRADE,DRY,DEBRIS ON ROADWAY
FOUR WAY,CURVE ON GRADE,DRY,NO DEFECTS
FOUR WAY,CURVE ON GRADE,DRY,"RUT, HOLES"
FOUR WAY,CURVE ON GRADE,DRY,UNKNOWN
FOUR WAY,CURVE ON GRADE,UNKNOWN,UNKNOWN
FOUR WAY,CURVE ON GRADE,WET,NO DEFECTS
FOUR WAY,CURVE ON HILLCREST,DRY,NO DEFECTS
FOUR WAY,CURVE ON HILLCREST,ICE,UNKNOWN
FOUR WAY,CURVE ON HILLCREST,WET,NO DEFECTS
FOUR WAY,"CURVE, LEVEL",DRY,NO DEFECTS
FOUR WAY,"CURVE, LEVEL",DRY,"RUT, HOLES"
